reduced test : 271, coverage : 0.9100817438692098, cross entropy : 0.024044038106739506, accuracy : 0.8450184501845018
reduced test : 272, coverage : 0.9100817438692098, cross entropy : 0.023794423675021405, accuracy : 0.8455882352941176
reduced test : 273, coverage : 0.9100817438692098, cross entropy : 0.023815818235241207, accuracy : 0.8461538461538461
reduced test : 274, coverage : 0.9100817438692098, cross entropy : 0.023804355474719072, accuracy : 0.843065693430657
reduced test : 275, coverage : 0.9100817438692098, cross entropy : 0.023659230480460747, accuracy : 0.8436363636363636
reduced test : 276, coverage : 0.9100817438692098, cross entropy : 0.023589496135481, accuracy : 0.8442028985507246
reduced test : 277, coverage : 0.9100817438692098, cross entropy : 0.023464232145014065, accuracy : 0.8447653429602888
reduced test : 278, coverage : 0.9100817438692098, cross entropy : 0.02325736062998392, accuracy : 0.841726618705036
reduced test : 279, coverage : 0.9100817438692098, cross entropy : 0.023095214093388598, accuracy : 0.8387096774193549
reduced test : 280, coverage : 0.9100817438692098, cross entropy : 0.022930047425938793, accuracy : 0.8392857142857143
reduced test : 281, coverage : 0.9100817438692098, cross entropy : 0.022714080716398567, accuracy : 0.8398576512455516
reduced test : 282, coverage : 0.9100817438692098, cross entropy : 0.022592600129832757, accuracy : 0.8404255319148937
reduced test : 283, coverage : 0.9100817438692098, cross entropy : 0.022337020217290473, accuracy : 0.8409893992932862
reduced test : 284, coverage : 0.9100817438692098, cross entropy : 0.022175242076520323, accuracy : 0.8380281690140845
reduced test : 285, coverage : 0.9100817438692098, cross entropy : 0.02213048479820521, accuracy : 0.8385964912280702
reduced test : 286, coverage : 0.9100817438692098, cross entropy : 0.021895763193535138, accuracy : 0.8391608391608392
reduced test : 287, coverage : 0.9100817438692098, cross entropy : 0.02204913683307193, accuracy : 0.8397212543554007
reduced test : 288, coverage : 0.9100817438692098, cross entropy : 0.0218133715640883, accuracy : 0.8402777777777778
reduced test : 289, coverage : 0.9100817438692098, cross entropy : 0.02154917110438973, accuracy : 0.8408304498269896
reduced test : 290, coverage : 0.9100817438692098, cross entropy : 0.021463308766460427, accuracy : 0.8413793103448276
reduced test : 291, coverage : 0.9100817438692098, cross entropy : 0.021263549780169453, accuracy : 0.8419243986254296
reduced test : 292, coverage : 0.9100817438692098, cross entropy : 0.021125254156598314, accuracy : 0.8424657534246576
