reduced test : 125, coverage : 0.9048582995951417, cross entropy : 0.02265219303724946, accuracy : 1.0
reduced test : 126, coverage : 0.9048582995951417, cross entropy : 0.02218117042220496, accuracy : 1.0
reduced test : 127, coverage : 0.9048582995951417, cross entropy : 0.022572074817181913, accuracy : 1.0
reduced test : 128, coverage : 0.9048582995951417, cross entropy : 0.022224662853149498, accuracy : 1.0
reduced test : 129, coverage : 0.9048582995951417, cross entropy : 0.022858534395836405, accuracy : 1.0
reduced test : 130, coverage : 0.9048582995951417, cross entropy : 0.022414858434854808, accuracy : 1.0
reduced test : 131, coverage : 0.9048582995951417, cross entropy : 0.02203567542633942, accuracy : 1.0
reduced test : 132, coverage : 0.9048582995951417, cross entropy : 0.021400919335593314, accuracy : 1.0
reduced test : 133, coverage : 0.9048582995951417, cross entropy : 0.021071052269276, accuracy : 1.0
reduced test : 134, coverage : 0.9048582995951417, cross entropy : 0.021370512321645906, accuracy : 1.0
reduced test : 135, coverage : 0.9048582995951417, cross entropy : 0.020948692050609893, accuracy : 1.0
reduced test : 136, coverage : 0.9048582995951417, cross entropy : 0.020654683887061796, accuracy : 1.0
reduced test : 137, coverage : 0.9048582995951417, cross entropy : 0.02012006266727368, accuracy : 1.0
reduced test : 138, coverage : 0.9048582995951417, cross entropy : 0.020119949189276193, accuracy : 1.0
reduced test : 139, coverage : 0.9048582995951417, cross entropy : 0.019810873159129824, accuracy : 1.0
reduced test : 140, coverage : 0.9048582995951417, cross entropy : 0.01993725324685517, accuracy : 1.0
reduced test : 141, coverage : 0.9048582995951417, cross entropy : 0.019563240752915746, accuracy : 1.0
reduced test : 142, coverage : 0.9048582995951417, cross entropy : 0.01935452891040786, accuracy : 1.0
reduced test : 143, coverage : 0.9048582995951417, cross entropy : 0.018864381009535122, accuracy : 1.0
reduced test : 144, coverage : 0.9048582995951417, cross entropy : 0.01845854888687943, accuracy : 1.0
reduced test : 145, coverage : 0.9048582995951417, cross entropy : 0.018506014404651053, accuracy : 1.0
reduced test : 146, coverage : 0.9048582995951417, cross entropy : 0.01802978244516678, accuracy : 1.0
reduced test : 147, coverage : 0.9048582995951417, cross entropy : 0.017811394752759193, accuracy : 1.0
reduced test : 148, coverage : 0.9048582995951417, cross entropy : 0.01778522734459558, accuracy : 1.0
reduced test : 149, coverage : 0.9048582995951417, cross entropy : 0.01756818274642559, accuracy : 1.0
reduced test : 150, coverage : 0.9048582995951417, cross entropy : 0.01722372860943398, accuracy : 1.0
reduced test : 151, coverage : 0.9048582995951417, cross entropy : 0.016820356362469174, accuracy : 1.0
reduced test : 152, coverage : 0.9048582995951417, cross entropy : 0.016854213757789144, accuracy : 1.0
reduced test : 153, coverage : 0.9048582995951417, cross entropy : 0.01672812810598871, accuracy : 1.0
reduced test : 154, coverage : 0.9048582995951417, cross entropy : 0.016422454760913134, accuracy : 1.0
reduced test : 155, coverage : 0.9048582995951417, cross entropy : 0.01636984036447601, accuracy : 0.9935483870967742
reduced test : 156, coverage : 0.9048582995951417, cross entropy : 0.016175257637155833, accuracy : 0.9935897435897436
reduced test : 157, coverage : 0.9048582995951417, cross entropy : 0.015928431133667986, accuracy : 0.9936305732484076
reduced test : 158, coverage : 0.9048582995951417, cross entropy : 0.015757370688182646, accuracy : 0.9936708860759493
reduced test : 159, coverage : 0.9048582995951417, cross entropy : 0.015484144900490746, accuracy : 0.9937106918238994
reduced test : 160, coverage : 0.9048582995951417, cross entropy : 0.015024743561386725, accuracy : 0.99375
reduced test : 161, coverage : 0.9048582995951417, cross entropy : 0.015349938523819532, accuracy : 0.9937888198757764
reduced test : 162, coverage : 0.9048582995951417, cross entropy : 0.015265351072479588, accuracy : 0.9938271604938271
